"","X","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"2562",2562,2112,"mm",6,"",10,1,1,"",17,5,8,3,"",10,8,7,6,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211203,0
"2563",2563,2116,"lb",6,"",10,1,1,"",18,10,10,4,"",10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211603,0
"2564",2564,2117,"kv",6,"",9,1,2,"",18,9,9,5,"",8,3,7,0,5,9,2,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211703,1
"2565",2565,2119,"jr",8,"academic",9,6,1,"",62,7,7,7,"",7,5,9,0,0,0,0,5,0,8,10,10,0,0,0,10,10,8,8,8,10,10,10,0,0,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211903,0
"2566",2566,2120,"gb",3,"",8,2,2,"",24,6,10,6,"",9,10,10,10,7,10,10,7,9,8,10,0,5,5,8,0,0,0,0,7,7,9,9,9,9,9,8,8,4,2,0,0,5,5,3,10,6,2,0,0,4,4,1,10,10,212003,1
"2567",2567,2121,"cb",8,"academic",7,4,1,"",NA,10,6,7,"",10,0,0,0,1,4,0,0,5,5,5,5,-1,0,0,10,10,0,0,0,5,10,10,-3,8,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212103,0
"2568",2568,2122,"kb",3,"",10,1,2,"",23,10,10,8,"",NA,10,10,10,10,10,8,8,8,8,8,8,8,8,10,8,8,8,8,10,10,0,0,0,0,10,10,10,0,0,0,0,10,10,10,10,0,0,0,0,10,10,10,10,10,212203,1
"2569",2569,2123,"cb",3,"",10,2,1,"",26,10,9,9,"",NA,10,10,10,10,10,4,4,3,3,1,1,0,0,2,7,8,7,7,7,7,2,3,3,2,2,7,10,1,1,3,0,4,7,5,7,4,7,3,2,5,8,3,5,7,212303,0
"2570",2570,2124,"gs",6,"",10,1,1,"",20,10,10,6,"",5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212403,0
"2571",2571,2125,"hp",5,"",10,1,2,"",20,10,10,5,"",NA,10,10,10,10,8,0,0,0,0,0,0,0,0,10,8,8,8,8,0,0,9,9,9,9,0,0,10,6,6,5,5,0,0,10,10,10,10,10,10,0,0,4,4,4,212503,1
"2572",2572,2126,"lb",1,"",10,1,2,"",43,9,7,4,"",10,10,9,10,10,6,6,4,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212603,1
"2573",2573,2128,"kh",4,"",10,1,2,"",78,10,10,4,"",NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-1,2,10,10,10,10,9,-10,NA,10,10,10,10,10,10,10,10,10,10,10,10,212803,1
"2574",2574,2130,"ad",3,"",10,2,1,"",20,4,8,7,"",NA,2,8,2,0,2,4,6,6,10,10,5,6,2,1,5,6,4,3,3,5,3,10,3,-1,-2,6,6,0,8,6,4,-5,7,4,1,7,10,7,2,2,9,8,-2,5,213003,0
"2575",2575,2131,"cg",1,"",10,2,1,"",45,8,8,5,"",5,2,5,7,0,6,9,0,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213103,0
"2576",2576,2133,"dl",3,"",10,1,1,"",23,2,3,4,"",5,10,10,10,8,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213303,0
"2577",2577,2134,"pb",1,"",10,1,2,"",48,10,10,8,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,6,3,3,0,10,10,10,10,10,6,0,10,10,10,10,10,7,0,8,10,10,10,10,10,7,0,7,10,213403,1
"2578",2578,2135,"mc",8,"academic",10,4,1,"",56,10,10,8,"",NA,4,4,4,4,8,0,3,10,7,0,0,6,10,10,10,10,0,2,0,0,0,0,4,10,10,10,0,0,0,5,3,2,2,0,1,10,10,4,3,7,0,10,8,0,213503,0
"2579",2579,2139,"js",6,"",5,1,1,"",18,2,6,5,"",6,0,4,4,0,0,4,2,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213903,0
"2580",2580,2140,"jj",5,"",10,1,2,"",18,4,10,4,"",10,8,10,9,1,10,9,10,10,10,0,0,4,10,8,3,1,1,6,9,4,1,0,-1,-2,7,-1,2,1,1,0,1,7,3,2,5,10,10,8,3,10,0,0,0,0,214003,1
"2581",2581,2141,"rc",1,"parentfig",10,2,2,"",77,10,10,8,"",10,10,10,10,10,10,8,8,3,3,10,10,10,10,0,4,4,8,6,0,0,10,10,10,10,0,6,0,8,7,4,4,3,6,0,9,3,0,0,0,0,2,0,7,9,214103,1
"2582",2582,2143,"friend 1",6,"",10,2,1,"",19,7,6,4,"",10,3,1,10,10,1,10,10,1,10,7,7,8,7,7,8,8,0,9,9,1,1,0,0,0,0,0,0,4,0,0,0,0,5,0,0,8,8,7,8,9,7,6,0,0,214303,0
"2583",2583,2144,"hs",6,"",10,2,1,"",18,2,10,5,"",3,10,10,2,2,2,0,0,2,0,6,6,1,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214403,0
"2584",2584,2145,"ab",7,"",9,1,1,"",30,10,10,7,"",8,9,9,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,9,8,9,10,9,8,8,8,8,9,10,9,9,214503,0
"2585",2585,2146,"jw",1,"",9,3,2,"",43,10,10,7,"",10,-4,-2,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214603,1
"2586",2586,2147,"k",6,"",10,1,1,"",19,10,10,5,"",NA,10,10,10,10,10,10,6,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214703,0
"2587",2587,2148,"dc",1,"",10,1,2,"",63,8,8,4,"",0,10,0,0,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214803,1
"2588",2588,2149,"jh",8,"academic",7,6,2,"",68,10,10,8,"",5,0,0,0,0,-3,2,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214903,1
"2589",2589,2151,"sb",4,"",6,2,1,"",62,5,5,4,"",9,10,8,6,7,2,10,6,6,4,10,1,-1,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215103,0
"2590",2590,2152,"dy",6,"",9,1,1,"",17,9,8,3,"",10,5,3,7,7,4,10,8,2,5,4,1,0,0,0,8,5,0,2,9,0,9,8,0,2,8,0,5,10,9,0,0,10,0,10,8,7,7,0,7,8,0,8,6,10,215203,0
"2591",2591,2153,"al",6,"",10,2,1,"",18,10,10,5,"",3,3,10,10,6,7,6,0,0,5,0,1,2,3,10,1,4,4,2,0,0,10,5,6,10,3,3,10,1,-7,-9,4,0,0,5,5,1,-9,-8,6,0,0,5,5,0,215303,0
"2592",2592,2155,"jd",5,"",10,1,2,"",19,10,10,5,"",NA,9,7,10,10,10,0,0,6,0,10,10,10,10,0,10,10,10,10,0,8,8,1,10,0,0,0,0,9,0,10,8,0,10,10,0,10,10,10,10,0,0,10,0,0,215503,1
"2594",2594,2158,"wp",1,"parentfig",10,1,1,"",68,10,10,7,"",10,10,10,8,10,7,10,7,10,4,7,0,0,0,0,10,10,10,5,10,0,10,7,10,0,10,0,10,8,10,4,10,4,0,6,3,8,10,6,10,1,0,6,1,10,215803,0
"2595",2595,2159,"bm",4,"",9,3,1,"",64,7,7,8,"",-3,4,9,6,9,9,7,6,9,9,0,0,0,0,0,0,0,0,0,0,9,6,6,7,7,0,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215903,0
"2596",2596,2160,"gc",6,"",-2,6,1,"",18,10,10,4,"",0,0,4,7,7,0,7,5,0,6,5,-10,-2,10,10,0,5,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216003,0
"2597",2597,2161,"kc",1,"",6,1,1,"",40,7,6,5,"",9,5,6,6,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216103,0
"2598",2598,2162,"deyanira",3,"",10,1,1,"",28,10,10,5,"",10,10,10,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216203,0
"2599",2599,2163,"cc",1,"",10,2,2,"",51,-3,10,10,"GED",10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216303,1
"2601",2601,2167,"mg",3,"",10,2,1,"",14,10,10,3,"",NA,10,10,10,10,10,10,7,8,9,10,8,10,9,10,10,9,9,8,9,10,10,9,9,8,9,10,9,6,8,7,9,10,8,9,9,10,10,10,9,8,8,9,8,10,216703,0
"2602",2602,2168,"wl",4,"",10,1,1,"",26,10,10,6,"",NA,2,7,10,10,10,3,4,6,6,9,3,3,-2,-5,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216803,0
"2603",2603,2169,"ar",6,"",8,2,1,"",19,5,5,5,"",2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216903,0
"2604",2604,2170,"gc",1,"",5,3,2,"",43,6,9,3,"",NA,8,3,10,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217003,1
"2605",2605,2172,"ib",5,"",8,1,2,"",19,4,4,4,"",4,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217203,1
"2606",2606,2173,"a.w",6,"",8,1,1,"",19,8,NA,5,"",7,10,10,10,10,9,10,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217303,0
"2607",2607,2174,"dd",1,"parentfig",10,1,1,"",61,7,9,7,"",10,10,10,10,10,7,7,0,2,1,3,-2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217403,0
"2608",2608,2175,"aa",6,"",10,2,1,"",20,10,10,5,"",-3,4,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217503,0
"2609",2609,2176,"wg",1,"",10,1,2,"",56,10,10,9,"",4,10,4,10,10,5,0,0,0,0,-5,0,-5,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,10,0,10,0,0,0,0,5,10,10,10,10,0,-5,0,0,0,217603,1
"2611",2611,2179,"eb",3,"",8,3,2,"",24,7,8,7,"",9,10,9,10,9,10,7,9,10,8,0,0,0,0,8,4,6,0,2,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217903,1
"2612",2612,2180,"aa",1,"",7,1,1,"",48,5,3,4,"",10,8,10,8,10,10,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218003,0
"2613",2613,2182,"is",6,"",5,2,2,"",19,9,8,5,"",8,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218203,1
"2614",2614,2185,"bo",1,"",4,3,2,"",43,7,7,5,"",3,4,9,2,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218503,1
"2615",2615,2186,"sg",6,"",10,2,1,"",26,10,10,7,"",8,10,0,10,10,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218603,0
"2616",2616,2189,"mbw",8,"academic",10,5,1,"",NA,10,10,8,"",NA,0,0,8,4,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218903,0
"2618",2618,2191,"cf",1,"",10,1,1,"",57,10,10,8,"",NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,10,-10,-5,-5,-5,-5,-5,-10,10,0,0,0,0,0,0,0,0,219103,0
"2619",2619,2192,"bm",6,"",6,1,1,"",18,10,8,5,"",8,8,6,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219203,0
"2621",2621,2195,"jt",6,"",10,2,1,"",43,10,10,7,"",5,0,0,0,0,10,0,0,10,10,7,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219503,0
"2622",2622,2196,"dd",4,"",10,3,1,"",70,2,2,8,"",NA,10,10,10,10,10,10,10,10,10,6,6,4,4,5,8,8,2,2,10,-10,10,10,4,2,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-10,0,0,4,219603,0
"2623",2623,2199,"cn",1,"",10,1,2,"",38,7,6,2,"",10,8,10,10,10,10,3,2,0,5,0,0,0,2,5,0,0,0,0,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219903,1
"2624",2624,2201,"rl",1,"",10,1,2,"",54,8,10,7,"",NA,10,10,9,9,9,9,8,8,7,7,6,6,4,7,8,7,6,5,6,10,9,9,9,9,7,5,5,9,9,7,7,6,4,4,10,8,8,9,10,8,5,5,7,7,220103,1
"2625",2625,2202,"jd",4,"",6,2,1,"",66,9,8,5,"",0,0,9,0,9,10,0,5,4,2,3,0,0,0,0,4,2,0,0,0,2,2,4,0,0,0,0,9,0,0,0,0,0,2,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,220203,0
"2626",2626,2205,"ri",1,"",10,1,2,"",45,10,10,8,"",0,0,10,0,8,9,0,10,10,10,2,8,8,10,10,6,4,4,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1,0,0,0,0,0,220503,1
"2628",2628,2208,"b.p.",4,"",10,2,1,"",23,7,7,5,"",8,10,3,5,3,6,8,7,8,5,10,3,7,6,8,10,-1,-1,-1,-1,-1,10,-3,-3,-3,-3,-3,10,10,-3,-3,-3,-3,-3,10,10,10,1,-1,-3,-3,2,10,10,10,220803,0
"2629",2629,2209,"js",3,"",10,2,2,"",35,5,10,5,"",NA,6,10,10,-6,10,10,2,4,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,220903,1
"2630",2630,2210,"cb",8,"academic",7,4,1,"",NA,10,10,9,"",2,2,9,0,-2,0,0,-1,0,0,0,2,0,8,0,0,9,0,3,0,6,0,2,0,0,6,0,8,0,5,0,0,-3,0,6,-5,0,10,0,0,5,0,3,8,8,221003,0
"2631",2631,2218,"es",3,"",10,1,2,"",19,9,8,4,"",10,10,10,7,0,-1,6,0,-3,7,9,5,10,0,-1,8,0,4,0,0,10,-10,-10,9,0,0,0,0,-1,0,3,0,0,0,0,6,1,-1,9,0,0,0,0,7,6,221803,1
"2632",2632,2219,"bb",3,"",10,1,1,"",5,5,4,1,"",NA,5,-10,8,NA,NA,4,5,1,8,10,10,1,4,-1,10,3,1,-1,-3,10,9,4,-1,-1,-1,10,9,9,9,9,4,4,4,7,3,9,5,2,10,9,-1,6,5,1,221903,0
"2633",2633,2220,"cr",3,"",9,3,2,"",25,10,10,8,"",-2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222003,1
"2634",2634,2221,"cg",3,"",10,1,1,"",26,3,3,8,"",10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222103,0
"2635",2635,2222,"bp",3,"",10,3,2,"",28,10,10,7,"",NA,10,10,3,3,0,4,4,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222203,1
"2636",2636,2224,"uc",4,"",10,3,2,"",45,10,10,4,"",8,9,10,7,10,8,8,3,0,0,8,10,8,10,0,10,10,10,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222403,1
"2637",2637,2225,"bc",1,"",9,2,2,"",47,3,2,4,"",0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222503,1
"2638",2638,2229,"ay",4,"",10,2,1,"",38,10,10,4,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,0,10,10,10,10,10,10,10,10,10,10,10,222903,0
"2639",2639,2230,"b",8,"academic",10,1,2,"",63,5,7,10,"not sure",10,10,9,10,9,10,10,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223003,1
"2640",2640,2232,"ja",6,"",10,1,2,"",18,10,10,5,"",0,0,0,-1,-1,5,3,0,-3,8,3,0,-3,9,10,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,1,-3,0,0,9,5,7,1,1,1,223203,1
"2641",2641,2233,"grandma",4,"",10,2,1,"",73,10,10,7,"",10,10,6,10,8,10,8,8,9,9,9,10,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223303,0
"2642",2642,2234,"sister",3,"",10,2,1,"",14,8,8,3,"",NA,10,9,10,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223403,0
"2643",2643,2236,"lj",3,"",10,1,2,"",22,10,10,7,"",6,10,10,10,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223603,1
"2644",2644,2238,"jp",7,"",7,2,2,"",30,10,10,7,"",7,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223803,1
"2645",2645,2239,"lm",4,"",10,2,1,"",67,6,8,4,"",NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223903,0
"2646",2646,2240,"se",1,"",10,2,1,"",41,7,7,5,"",7,6,6,5,5,10,7,7,10,10,4,4,3,4,10,3,3,4,8,5,5,0,0,10,10,6,10,4,0,0,10,6,10,10,4,10,0,0,-1,10,4,3,10,1,0,224003,0
"2647",2647,2241,"dg",3,"",10,1,2,"",21,8,9,5,"",10,10,10,10,10,10,10,10,10,10,10,5,7,3,3,10,2,5,2,3,10,10,2,3,1,2,10,10,10,2,3,1,2,10,10,10,8,4,4,4,4,5,6,7,6,224103,1
"2648",2648,2242,"jp",4,"",8,3,NA,"",NA,3,10,4,"",10,10,10,6,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224203,NA
"2649",2649,2244,"mec",3,"",10,1,1,"",23,10,10,8,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,6,-7,224403,0
"2650",2650,2245,"cc",6,"",5,3,2,"",18,10,7,4,"",NA,5,9,4,5,8,5,7,6,7,4,5,7,7,10,7,4,4,5,7,6,4,6,5,8,7,8,6,6,10,6,8,4,6,5,10,5,8,6,9,5,7,5,5,10,224503,1
"2651",2651,2246,"lbiii",3,"",10,2,2,"",21,4,9,5,"",4,9,7,-5,9,8,-3,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224603,1
"2652",2652,2248,"ag",8,"academic",8,2,1,"",44,10,10,7,"",6,6,6,7,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224803,0
"2653",2653,2249,"en",8,"academic",10,5,1,"",30,10,10,8,"",NA,6,0,6,0,9,0,0,0,0,10,7,0,0,5,6,6,3,0,3,6,7,7,0,0,7,7,6,10,10,0,0,10,9,5,0,8,9,0,0,6,5,0,0,0,224903,0
"2654",2654,2250,"grandpaw",4,"",10,2,2,"",75,7,8,4,"",2,10,2,6,0,0,4,1,0,7,10,0,10,0,1,10,10,10,NA,NA,1,4,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,225003,1
"2655",2655,2251,"cr",1,"",4,2,2,"",50,10,10,4,"",-5,6,-9,9,7,0,8,7,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225103,1
"2656",2656,2253,"gp",6,"",7,1,1,"",18,10,10,6,"",0,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225303,0
