"","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"758",2336,"ma","4","",10,1,"1","",19,10,10,5,"","","7","10","10","1","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233601",0
"759",2337,"db","7","",10,4,"2","",NA,10,10,9,"","0","0","10","0","4","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233701",1
"760",2338,"jt","1","",10,1,"2","",66,8,10,5,"","10","9","2","9","2","8","9","0","0","0","9","0","0","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233801",1
"761",2341,"kallie","1","",NA,2,"1","",40,10,10,8,"","-10","-6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234101",0
"762",2343,"af","1","",10,1,"2","",62,10,10,7,"","10","10","10","9","6","3","8","7","3","6","0","7","6","5","10","4","3","3","7","3","5","6","7","7","5","2","4","10","6","3","0","4","2","-1","3","3","3","0","","","","","","","","234301",1
"763",2345,"ej","1","",9,1,"1","",53,10,10,5,"","9","7","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234501",0
"764",2347,"r.l","8","academic",7,3,"1","",56,10,10,7,"","0","2","10","4","8","10","0","7","10","6","7","0","2","8","0","9","0","4","6","0","8","2","0","8","10","0","6","6","0","10","10","6","5","0","0","0","5","5","9","10","8","10","10","9","10","234701",0
"765",2348,"wb","1","",10,1,"1","",51,9,4,7,"","6","7","7","0","0","0","9","7","9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234801",0
"766",2349,"jf","1","",9,2,"2","",46,9,9,5,"","-3","3","7","8","-8","-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234901",1
"767",2351,"lc","1","",10,1,"1","",46,9,6,8,"","10","1","1","7","7","7","7","5","8","8","10","10","0","5","7","10","9","10","7","6","10","10","10","0","0","1","10","10","10","10","7","9","8","10","10","10","10","10","0","1","1","10","10","10","9","235101",0
"768",2354,"maf","1","",8,2,"2","",54,9,10,7,"","-4","6","2","0","7","0","0","3","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235401",1
"769",2355,"kb","1","",7,1,"1","",50,10,7,7,"","10","10","9","8","7","10","10","10","9","8","10","10","7","8","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235501",0
"770",2356,"so","3","",10,6,"1","",999,0,0,5,"","0","10","","2","0","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235601",0
"771",2358,"th","8","academic",5,4,"1","",45,3,2,8,"","1","0","10","0","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235801",0
"772",2359,"jd","1","",10,1,"1","",54,10,10,7,"","","","","10","10","2","9","9","7","10","9","6","9","10","7","-4","9","-2","5","1","2","8","6","10","-1","6","3","7","10","8","3","0","-6","4","7","8","8","","5","10","7","6","","9","10","235901",0
"773",2360,"ss","1","",10,1,"1","",38,10,10,5,"","7","10","8","8","10","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236001",0
"774",2361,"md","6","",6,2,"1","",34,6,9,7,"","0","0","10","0","0","10","6","0","0","10","0","0","0","10","10","7","7","8","10","10","10","8","0","0","10","10","10","10","0","0","10","10","10","10","10","10","8","0","1","10","10","10","10","10","10","236101",0
"775",2363,"so","6","",8,1,"1","",19,10,8,5,"","4","0","6","3","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236301",0
"776",2366,"dh","1","",NA,1,"1","",36,10,10,2,"","8","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236601",0
"777",2367,"tammy","1","",8,2,"1","",58,7,7,4,"","6","4","9","7","10","9","0","0","0","0","0","0","0","0","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236701",0
"778",2368,"k,v","4","",10,2,"1","",50,10,10,6,"","10","7","7","0","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236801",0
"779",2371,"ch","8","academic",10,3,"2","",NA,10,8,7,"","6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237101",1
"780",2372,"js","1","",10,1,"1","",48,10,10,9,"","10","10","10","10","10","10","5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237201",0
"781",2373,"sd","1","",8,2,"1","",37,10,10,7,"","10","5","0","4","2","10","10","10","10","10","0","0","10","2","10","0","0","10","2","10","10","0","0","10","6","10","10","10","0","0","10","6","10","10","10","10","0","0","0","4","10","10","10","10","10","237301",0
"782",2374,"jk","1","",10,1,"1","",56,7,7,8,"","9","10","2","10","5","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237401",0
"783",2379,"wb","1","",9,1,"1","",47,10,7,9,"","7","2","-4","2","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237901",0
"784",2383,"yw","6","",10,1,"1","",18,10,10,5,"","1","1","3","4","0","0","2","0","0","2","1","3","7","0","0","6","3","1","0","3","1","3","0","0","0","0","0","3","1","4","9","0","0","10","0","0","","","","","","","","","","238301",0
"785",2385,"cg","1","",9,2,"1","",56,8,9,7,"","","1","4","0","3","4","0","7","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238501",0
"786",2386,"jac","1","",10,1,"2","",57,8,8,4,"","8","0","0","0","0","0","6","0","0","8","2","0","0","5","7","10","8","0","3","4","-10","","","","","","","","","","","","","","","","","","","","","","","","","238601",1
"787",2387,"ns","6","",10,1,"","",18,10,10,4,"","","8","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238701",NA
"788",2389,"cb","6","",7,3,"1","",45,8,7,6,"","10","","6","0","-5","10","-6","-5","2","-2","2","7","2","8","3","8","2","10","0","-6","6","10","4","-2","2","-1","7","2","4","3","1","6","-7","8","1","9","5","2","6","3","3","6","-3","9","-1","238901",0
