"","egoID","Q94_1","Q94_2","Q94_3","Q94_4","Q94_5","Q94_6","Q96_1","Q96_2","Q96_3","Q96_4","Q96_5","Q96_6","Q98_1","Q98_2","Q98_3","Q98_4","Q98_5","Q98_6","Q100_1","Q100_2","Q100_3","Q100_4","Q100_5","Q100_6","Q102_1","Q102_2","Q102_3","Q102_4","ego.careerval","ego.acadval","ego.gender","ego.race","ego.workhours","ego.studentorg","ego.belong","ego.age","ego.year","ext_reg","int_toknow","ext_iden","int_stim","amotiv","int_accomp","ext_intro","ego.genderbi","ego.racetri","mean.clo","mean.comm","mean.careerval","mean.acadval","mean.edu","alt.edudiverse","alt.type","alt.age","alt.agesd","alt.female","alt.male","alt.genratio","ego.ager","mean.eigen","dens","mean.deg","mean.bet","deg.centr","alter.aca.value.avg","alter.career.value.avg","density","gendersim","agediver","belong_cat"
"79",1152,1,3,5,3,1,2,5,5,2,5,1,1,5,5,5,5,5,2,1,5,5,5,5,5,1,1,5,5,10,10,1,1,40,3,5,NA,NA,4,3.75,5,1.75,1,4.25,5,0,1,10,1.6,10,10,4,3,5,48.6,24.7345911629847,2,3,0.666666666666667,NA,0.726754941523644,0.7,2.8,1,0.3,10,10,0.7,-0.2,2.32192809488736,1
"80",1156,5,3,5,4,2,3,5,5,4,5,3,1,4,5,5,3,4,2,1,5,5,5,5,5,3,1,4,5,10,10,1,1,25,3,2,NA,NA,5,3.75,4.75,3,1.25,4,5,0,1,7.4,2.5,8.4,8.6,4.1,4,4,26.6,15.7211817480607,4,6,0.666666666666667,NA,0.676177206021612,0.577777777777778,5.2,2.4,0.311111111111111,8.6,8.4,0.577777777777778,-0.2,2.52192809488736,0
"81",1158,3,4,4,3,5,4,3,4,5,5,4,4,4,5,5,4,4,4,4,5,3,2,4,4,5,4,4,5,10,10,1,1,0,1,5,NA,NA,3.5,4.25,4.25,4,4.25,4.25,4,0,1,8.2,3,6.7,6.2,5.8,6,4,44,18.6368809979925,3,7,0.428571428571429,NA,0.649909667012657,0.6,5.4,3.1,0.288888888888889,6.2,6.7,0.6,-0.4,3.32192809488736,1
"82",1159,3,5,5,3,2,3,4,3,4,5,4,2,3,1,3,3,4,3,1,3,2,3,4,4,3,1,3,3,7,10,3,1,20,1,3,NA,NA,3,4,4.5,3.25,1.5,3,2.5,NA,1,6,3,9.75,7.5,6.25,3,4,43.75,15.5214904782584,1,3,0.333333333333333,NA,0.666666666666667,0.5,1.5,0.75,0.5,7.5,9.75,0.5,1,1.5,0
"83",1161,3,5,5,5,1,3,5,3,5,5,4,1,5,5,5,5,5,5,1,3,5,5,5,5,5,1,5,5,10,10,1,2,30,2,3,NA,NA,4,5,5,4.75,1,4,5,0,2,10,2.2,10,10,5.8,4,4,45.2,16.1616830806695,1,4,0.25,NA,0.78284364546761,0.7,2.8,0.7,0.3,10,10,0.7,-0.6,2.32192809488736,0
"84",1162,2,3,3,2,1,4,3,2,3,4,2,1,3,4,4,3,4,1,1,3,4,4,2,2,3,1,3,4,8,9,1,1,25,3,3,NA,NA,3,2.75,3.25,2,1,3.25,3.75,0,1,9.66666666666667,1.66666666666667,9.66666666666667,9,5,3,4,51,33,0,3,0,NA,0.780546928833291,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,9,9.66666666666667,0.666666666666667,-1,1.58496250072116,0
"85",1165,4,3,4,2,2,3,2,4,2,4,2,3,3,4,4,2,4,2,1,2,4,4,2,3,1,3,3,4,9,9,1,1,30,3,3,NA,NA,4,2.25,3.75,1.75,2.25,2.75,3.5,0,1,10,2.25,10,10,6.25,4,4,29.75,10.1447851956888,0,4,0,NA,0.87373795165882,0.666666666666667,2,0.75,0.333333333333333,10,10,0.666666666666667,-1,2,0
"86",1168,3,3,2,3,2,3,2,2,3,2,3,3,2,3,2,3,3,2,2,3,2,4,3,3,3,2,3,4,10,10,1,2,0,3,3,NA,NA,2.75,3,2.5,2.75,2.25,2.75,2.75,0,2,4.66666666666667,2.66666666666667,6.66666666666667,6,5,3,3,41.3333333333333,20.8166599946613,2,1,2,NA,0.780546928833291,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,6,6.66666666666667,0.666666666666667,0.333333333333333,1.58496250072116,0
"87",1172,4,3,3,2,3,2,2,4,2,3,2,3,2,3,4,2,2,2,3,2,2,4,2,3,2,3,3,3,8,6,1,1,30,1,3,NA,NA,4,2.25,2.75,2,3,2.25,2.5,0,1,10,3.3,8,9.8,6.6,4,4,43.5,18.6860018908986,1,9,0.111111111111111,NA,0.769505033209931,0.666666666666667,5.33333333333333,1.94444444444444,0.333333333333333,9.77777777777778,8,0.666666666666667,-0.777777777777778,2.94770277922009,0
"88",1175,5,3,5,3,1,4,5,5,3,5,4,1,5,4,5,4,5,4,1,3,3,5,5,4,4,1,4,5,10,10,2,2,0,2,3,NA,NA,5,3.75,4.75,3.75,1,4,4.25,1,2,8.7,2.9,8.9,8.3,5.9,3,3,91.6,158.885143701005,4,6,0.666666666666667,NA,0.751652377390217,0.822222222222222,7.4,4.76333333333333,0.177777777777778,8.3,8.9,0.822222222222222,0.2,3.32192809488736,0
