"","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"13",1020,"tp","1","",10,1,"1","",57,10,10,5,"","","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102001",0
"14",1023,"rs","1","",10,1,"1","",47,9,9,7,"","10","8","5","8","0","5","10","5","6","0","6","3","7","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102301",0
"15",1025,"mm","3","",10,2,"1","",27,8,9,7,"","10","10","7","5","5","4","0","0","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102501",0
"16",1027,"db","3","",10,2,"2","",26,10,10,3,"","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102701",1
"17",1028,"ha","1","",10,1,"1","",46,10,10,7,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102801",0
"18",1029,"ng","1","",10,1,"1","",41,10,10,9,"","10","8","10","10","10","7","8","8","8","8","10","10","8","10","10","10","10","8","10","8","10","10","10","8","10","10","7","10","10","10","8","10","10","10","10","8","0","0","0","0","0","0","0","10","0","102901",0
"19",1030,"mh","1","",10,1,"1","",41,10,10,5,"","-4","2","10","10","-4","2","10","2","2","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103001",0
"20",1031,"km","1","",10,2,"1","",40,10,10,10,"N/A","10","10","10","10","10","10","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103101",0
"21",1032,"cp","8","academic",8,6,"2","",NA,8,6,10,"n/a","2","0","0","6","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103201",1
"22",1034,"mf","1","",10,1,"1","",41,5,10,5,"","-8","-6","10","6","9","1","0","0","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103401",0
"23",1038,"ht","5","",10,1,"2","",19,10,10,5,"","8","6","10","7","7","5","","","","6","","","","6","","","","","2","","","0","","","0","","","","","","","2","","","","","4","5","6","10","","","","","","103801",1
"24",1039,"nh","1","",10,1,"1","",50,6,4,5,"","10","10","5","10","6","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103901",0
"25",1040,"madison","3","",8,2,"1","",22,9,9,7,"","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104001",0
"26",1041,"dh","1","",10,1,"2","",49,10,6,7,"","10","10","10","10","8","8","10","8","10","10","7","10","10","5","5","7","10","10","6","6","10","0","2","0","0","0","0","0","2","3","0","0","0","0","0","0","3","4","0","0","0","0","0","0","10","104101",1
"27",1043,"jj","1","",10,1,"1","",44,10,10,7,"","","10","10","10","10","10","0","0","8","0","4","10","9","9","0","8","10","4","4","0","10","0","0","8","0","0","0","0","0","0","10","0","0","0","0","0","10","10","3","1","0","7","8","0","0","104301",0
