"","egoID","from.alter","to.alter","weight_origin","weight"
"291",1495,"149501","149502",9,9
"292",1496,"149601","149602",2,2
"293",1498,"149801","149802",10,10
"294",1499,"149901","149902",1,1
"297",1503,"150301","150302",10,10
"298",1505,"150501","150502",10,10
"300",1508,"150801","150802",10,10
"301",1509,"150901","150902",10,10
"302",1513,"151301","151302",9,9
"303",1515,"151501","151502",8,8
"305",1520,"152001","152002",10,10
"308",1531,"153101","153102",9,9
"309",1533,"153301","153302",10,10
"310",1535,"153501","153502",8,8
"313",1539,"153901","153902",10,10
"314",1540,"154001","154002",10,10
"315",1542,"154201","154202",10,10
"316",1543,"154301","154302",10,10
"317",1544,"154401","154402",7,7
"318",1546,"154601","154602",10,10
"319",1547,"154701","154702",6,6
"320",1551,"155101","155102",5,5
"321",1552,"155201","155202",7,7
"325",1559,"155901","155902",4,4
"327",1563,"156301","156302",10,10
"330",1571,"157101","157102",5,5
"331",1573,"157301","157302",6,6
"332",1575,"157501","157502",9,9
"339",1603,"160301","160302",3,3
"341",1605,"160501","160502",7,7
"342",1607,"160701","160702",10,10
"346",1615,"161501","161502",6,6
"347",1617,"161701","161702",10,10
"348",1618,"161801","161802",8,8
"351",1622,"162201","162202",10,10
"354",1627,"162701","162702",8,8
"355",1628,"162801","162802",7,7
"356",1632,"163201","163202",10,10
"358",1635,"163501","163502",10,10
"360",1641,"164101","164102",10,10
"361",1642,"164201","164202",10,10
"362",1645,"164501","164502",10,10
"364",1648,"164801","164802",7,7
"366",1650,"165001","165002",10,10
"369",1656,"165601","165602",8,8
"371",1659,"165901","165902",9,9
"372",1660,"166001","166002",10,10
"374",1663,"166301","166302",10,10
"378",1668,"166801","166802",6,6
"381",1672,"167201","167202",8,8
"382",1673,"167301","167302",10,10
"385",1678,"167801","167802",10,10
"386",1680,"168001","168002",10,10
"387",1682,"168201","168202",6,6
"388",1686,"168601","168602",10,10
"391",1690,"169001","169002",7,7
"392",1692,"169201","169202",4,4
"394",1695,"169501","169502",10,10
"396",1699,"169901","169902",7,7
"397",1700,"170001","170002",8,8
"398",1701,"170101","170102",8,8
"399",1702,"170201","170202",10,10
"402",1705,"170501","170502",4,4
"403",1708,"170801","170802",10,10
"405",1710,"171001","171002",10,10
"407",1714,"171401","171402",10,10
"409",1718,"171801","171802",6,6
"411",1721,"172101","172102",10,10
"412",1723,"172301","172302",10,10
"413",1724,"172401","172402",3,3
"415",1727,"172701","172702",6,6
"418",1731,"173101","173102",10,10
"419",1734,"173401","173402",4,4
"421",1741,"174101","174102",1,1
"422",1742,"174201","174202",4,4
"427",1748,"174801","174802",10,10
"428",1749,"174901","174902",9,9
"430",1751,"175101","175102",6,6
"432",1753,"175301","175302",8,8
"433",1755,"175501","175502",8,8
"434",1757,"175701","175702",10,10
"435",1758,"175801","175802",5,5
"436",1759,"175901","175902",6,6
"437",1760,"176001","176002",10,10
"440",1764,"176401","176402",3,3
"441",1766,"176601","176602",6,6
"444",1772,"177201","177202",7,7
"446",1775,"177501","177502",10,10
"447",1776,"177601","177602",10,10
"449",1781,"178101","178102",6,6
"450",1783,"178301","178302",10,10
"451",1784,"178401","178402",10,10
"453",1811,"181101","181102",10,10
"454",1812,"181201","181202",8,8
"455",1813,"181301","181302",8,8
"457",1816,"181601","181602",4,4
"458",1817,"181701","181702",10,10
"461",1821,"182101","182102",7,7
"462",1822,"182201","182202",8,8
"463",1823,"182301","182302",5,5
"464",1824,"182401","182402",10,10
"466",1830,"183001","183002",10,10
"468",1832,"183201","183202",7,7
"469",1833,"183301","183302",10,10
"470",1834,"183401","183402",5,5
"471",1837,"183701","183702",6,6
"473",1839,"183901","183902",8,8
"474",1841,"184101","184102",10,10
"475",1842,"184201","184202",2,2
"476",1843,"184301","184302",10,10
"477",1845,"184501","184502",6,6
"479",1847,"184701","184702",8,8
"480",1848,"184801","184802",3,3
"481",1849,"184901","184902",10,10
"487",1862,"186201","186202",2,2
"491",1869,"186901","186902",10,10
"494",1875,"187501","187502",10,10
"495",1877,"187701","187702",10,10
"496",1878,"187801","187802",6,6
"497",1880,"188001","188002",10,10
"499",1885,"188501","188502",10,10
"501",1887,"188701","188702",10,10
"502",1888,"188801","188802",8,8
"504",1894,"189401","189402",10,10
"505",1897,"189701","189702",10,10
"508",1908,"190801","190802",10,10
"509",1910,"191001","191002",5,5
"510",1912,"191201","191202",6,6
"511",1916,"191601","191602",10,10
"512",1918,"191801","191802",1,1
"513",1919,"191901","191902",10,10
"514",1920,"192001","192002",10,10
"515",1921,"192101","192102",10,10
"516",1924,"192401","192402",7,7
"517",1926,"192601","192602",10,10
"518",1928,"192801","192802",5,5
"519",1930,"193001","193002",4,4
"520",1937,"193701","193702",7,7
"523",1941,"194101","194102",9,9
"525",1943,"194301","194302",9,9
"526",1952,"195201","195202",10,10
"527",1954,"195401","195402",10,10
"528",1956,"195601","195602",10,10
"529",1958,"195801","195802",5,5
"530",1961,"196101","196102",10,10
"531",1963,"196301","196302",10,10
